Employee ID,age,gender,department,department_code,JobTitle,job_level,Education,MonthlyIncome,monthly_rate,hourly_rate,daily_rate,years_at_company,years_in_role,years_since_promotion,satisfaction_score,environment_satisfaction,Attrition,OverTime,distance_from_home,training_hours_last_year,num_companies_worked,manager_rating,work_life_balance,last_promotion_date
1001,27,Female,Engineering,ENG-02,Backend Developer,3,High School,8001,9162,45,369,0,0,0,3 - High,4,No,No,11.0,32.0,1,4.0,Very High,2024-09-06
1002,34,Male,Engineering,ENG-02,Data Engineer,2,Master's,8777,10301,51,415,4,3,2,2 - Medium,2,No,No,26.0,30.0,0,2.0,Low,12/18/2022
1003,50,Female,Finance,FIN-05,Controller,4,Master's,14021,18470,82,659,13,11,7,4 - Very High,3,No,No,17.0,40.0,2,3.0,Medium,2017-12-04
1004,31,Male,Marketing,MKT-04,Marketing Analyst,3,Bachelor's,6402,8805,37,297,3,0,0,4 - Very High,3,No,No,3.0,32.0,0,2.0,High,2024-12-07
1005,51,Male,Marketing,MKT-04,SEO Specialist,4,Master's,9277,12125,54,433,21,4,3,4 - Very High,2,No,No,3.0,25.0,0,1.0,High,06/25/2021
1006,39,Male,Sales,SAL-03,Business Development Rep,3,Master's,8688,10249,51,406,9,0,0,3 - High,3,No,Yes,11.0,30.0,6,3.0,Medium,2024-03-02
1007,43,Female,Human Resources,HR-01,HR Analyst,4,High School,8399,10360,48,393,9,0,0,2 - Medium,2,No,Yes,6.0,26.0,2,3.0,Medium,
1008,44,Male,Operations,OPS-06,Operations Analyst,4,Bachelor's,9359,12619,55,432,13,0,0,3 - High,1,No,No,6.0,32.0,3,3.0,Medium,01/23/2024
1009,40,Female,Marketing,MKT-04,Marketing Analyst,4,Master's,11165,12818,65,516,20,13,6,3 - High,3,No,Yes,20.0,22.0,0,5.0,Medium,12/14/2018
1010,40,Male,Marketing,MKT-04,Digital Marketing Lead,1,High School,5035,6736,29,238,10,8,5,4 - Very High,4,No,No,11.0,32.0,0,4.0,High,12/04/2019
1011,33,Female,Engineering,ENG-02,Senior Engineer,5,High School,15743,21197,89,704,7,6,4,4 - Very High,4,No,No,19.0,38.0,0,5.0,Very High,09/03/2020
1012,41,Male,Engineering,ENG-02,Frontend Developer,4,Bachelor's,11859,15723,68,557,9,1,0,3 - High,3,No,No,9.0,20.0,0,,Very High,2024-09-12
1013,33,Male,Engineering,ENG-02,Senior Engineer,2,Bachelor's,7033,7908,41,327,1,0,0,3 - High,4,No,No,2.0,28.0,1,3.0,Very High,2024-09-30
1014,35,Female,Operations,OPS-06,Process Engineer,2,Bachelor's,6384,7882,36,287,4,4,1,3 - High,3,Yes,Yes,11.0,41.0,1,,Low,2023-11-21
1015,25,Male,Human Resources,HR-01,HR Coordinator,1,Bachelor's,4293,5478,25,200,0,0,0,1 - Low,4,No,No,6.0,19.0,0,2.0,Very High,09/09/2024
1016,42,Male,Engineering,ENG-02,Software Engineer,3,Master's,9003,10873,53,437,26,5,0,1 - Low,4,No,No,38.0,9.0,3,3.0,High,05/18/2024
1017,25,Female,Engineering,ENG-02,QA Engineer,2,Bachelor's,7495,10104,43,350,11,3,3,2 - Medium,3,No,No,4.0,34.0,1,4.0,Very High,03/08/2021
1018,34,Male,Operations,OPS-06,Logistics Coordinator,3,Bachelor's,5830,6880,34,279,5,0,0,4 - Very High,4,No,No,9.0,23.0,0,,Very High,2024-01-09
1019,28,Male,Operations,OPS-06,Supply Chain Analyst,2,High School,4261,5348,24,195,1,1,1,2 - Medium,3,No,Yes,4.0,31.0,0,4.0,Very High,2023-07-29
1020,35,Female,Finance,FIN-05,Senior Accountant,3,Bachelor's,8333,10619,48,380,6,2,2,4 - Very High,4,No,Yes,6.0,21.0,0,5.0,High,2022-04-17
1021,33,Non-Binary,Engineering,ENG-02,Backend Developer,2,Master's,8022,9328,47,376,4,4,1,4 - Very High,2,No,No,8.0,14.0,2,,Very High,2023-09-29
1022,21,Female,Sales,SAL-03,Senior Sales Rep,3,Master's,9060,10790,52,425,1,0,0,2 - Medium,2,No,No,23.0,15.0,0,4.0,High,2024-03-23
1023,43,Male,Sales,SAL-03,Regional Sales Lead,3,Bachelor's,7675,9418,43,348,8,6,1,3 - High,3,No,Yes,16.0,23.0,6,4.0,Very High,2023-06-07
1024,40,Male,Human Resources,HR-01,HR Manager,4,Master's,8366,10430,50,406,5,4,1,2 - Medium,3,Yes,Yes,16.0,40.0,0,4.0,Very High,2023-02-27
1025,44,Female,Operations,OPS-06,Facilities Manager,1,Bachelor's,5219,6276,29,228,10,5,2,3 - High,4,No,No,11.0,16.0,2,4.0,Very High,2022-08-13
1026,27,Female,Finance,FIN-05,Tax Specialist,5,Bachelor's,11691,15302,69,559,0,0,0,1 - Low,2,No,No,5.0,40.0,1,5.0,High,
1027,37,Male,Marketing,MKT-04,Brand Manager,1,Master's,5105,6117,30,239,8,1,1,4 - Very High,3,No,No,20.0,27.0,1,4.0,Very High,2023-03-24
1028,30,Female,Engineering,ENG-02,DevOps Engineer,5,Bachelor's,13418,17765,79,622,4,1,1,3 - High,2,No,Yes,9.0,27.0,0,3.0,Medium,2023-09-30
1029,40,Non-Binary,Operations,OPS-06,Facilities Manager,3,Bachelor's,7204,9599,42,332,5,2,1,4 - Very High,3,No,No,5.0,42.0,1,3.0,High,2023-07-30
1030,32,Female,Marketing,MKT-04,Brand Manager,2,High School,5932,7389,33,265,1,1,0,4 - Very High,4,No,No,10.0,23.0,1,4.0,High,2024-09-05
1031,26,Female,Finance,FIN-05,Tax Specialist,4,Master's,10793,12157,62,488,0,0,0,3 - High,3,No,No,4.0,22.0,3,3.0,Very High,04/04/2024
1032,27,Non-Binary,Sales,SAL-03,Sales Rep,2,Master's,6132,8083,35,284,4,1,0,2 - Medium,4,No,Yes,25.0,40.0,0,3.0,Medium,2024-08-24
1033,37,Female,Human Resources,HR-01,Benefits Specialist,2,Bachelor's,4974,6332,28,220,4,1,1,4 - Very High,3,No,No,18.0,27.0,0,4.0,Very High,2023-04-25
1034,33,Female,Engineering,ENG-02,Software Engineer,2,High School,7065,8588,42,339,5,2,1,4 - Very High,2,No,No,5.0,34.0,0,3.0,Medium,03/02/2023
1035,34,Female,Finance,FIN-05,Tax Specialist,4,Master's,8561,10438,50,410,3,0,0,3 - High,3,No,No,11.0,18.0,0,2.0,High,01/05/2024
1036,25,Female,Human Resources,HR-01,Benefits Specialist,4,Bachelor's,8182,9627,47,380,4,4,0,2 - Medium,2,No,No,11.0,28.0,1,3.0,High,2024-06-22
1037,42,Female,Engineering,ENG-02,QA Engineer,2,Master's,6522,7702,37,300,7,6,3,4 - Very High,3,No,No,17.0,33.0,3,5.0,Very High,2021-02-18
1038,36,Female,Engineering,ENG-02,Staff Engineer,4,Bachelor's,13398,15369,77,613,6,4,0,4 - Very High,3,No,Yes,6.0,37.0,0,4.0,Very High,2024-07-09
1039,28,Non-Binary,Engineering,ENG-02,Software Engineer,2,Bachelor's,7479,8785,42,329,1,1,0,3 - High,4,No,Yes,9.0,43.0,1,3.0,Medium,2024-04-18
1040,22,Female,Marketing,MKT-04,Marketing Analyst,3,Master's,6224,7006,36,291,1,1,0,4 - Very High,3,No,No,8.0,35.0,3,4.0,High,2024-08-16
1041,41,Female,Sales,SAL-03,Sales Rep,1,Master's,4617,6064,27,219,0,0,0,3 - High,4,No,No,9.0,1.0,3,3.0,High,2024-11-01
1042,27,Male,Engineering,ENG-02,Senior Engineer,4,High School,11085,12439,64,504,1,0,0,2 - Medium,3,No,No,16.0,25.0,0,1.0,Very High,2024-08-28
1043,41,Male,Marketing,MKT-04,Marketing Analyst,3,Bachelor's,7948,9735,46,368,10,1,0,2 - Medium,2,No,No ,10.0,30.0,1,3.0,High,07/27/2024
1044,30,Female,Engineering,ENG-02,QA Engineer,3,High School,6959,8454,40,329,7,4,3,1 - Low,4,No,No,3.0,39.0,2,2.0,Very High,2021-09-21
1045,30,Male,Operations,OPS-06,Operations Manager,3,High School,6850,7830,40,319,4,0,0,4 - Very High,4,No,No,10.0,38.0,0,5.0,Very High,2024-02-04
1046,31,Female,Engineering,ENG-02,Data Engineer,3,PhD,11259,13723,66,525,5,0,0,4 - Very High,2,No,Yes,9.0,28.0,0,5.0,High,2024-06-15
1047,33,Male,Human Resources,HR-01,HR Analyst,2,Bachelor's,4943,6149,28,226,4,3,0,3 - High,3,No,No,5.0,32.0,1,3.0,High,02/17/2024
1048,21,Male,Operations,OPS-06,Operations Analyst,3,Master's,7335,9567,43,337,0,0,0,2 - Medium,3,Yes,No,14.0,35.0,0,4.0,Very High,2024-05-26
1049,41,Male,Operations,OPS-06,Process Engineer,2,High School,5640,7568,32,252,19,2,0,2 - Medium,4,No,No,4.0,19.0,0,,High,05/24/2024
1050,26,Female,Sales,SAL-03,Account Executive,3,Bachelor's,8245,11156,47,372,0,0,0,2 - Medium,4,No,No,,16.0,1,4.0,Very High,2025-02-01
1051,37,Female,Marketing,MKT-04,SEO Specialist,1,Master's,5092,6608,29,237,8,0,0,3 - High,4,No,No,7.0,22.0,1,3.0,Very High,2024-09-13
1052,30,Male,Engineering,ENG-02,Frontend Developer,3,Bachelor's,7229,9503,41,335,1,0,0,3 - High,4,No,No,10.0,30.0,4,3.0,Very High,2024-03-08
1053,47,Male,Engineering,ENG-02,Software Engineer,4,Bachelor's,11240,13539,63,505,9,4,2,3 - High,3,No,No,4.0,24.0,1,4.0,High,2022-02-23
1054,41,Male,Engineering,ENG-02,Software Engineer,1,Master's,5188,6733,29,231,2,2,0,2 - Medium,3,No,No,6.0,22.0,2,3.0,Very High,2024-09-25
1055,35,Female,Engineering,ENG-02,Engineering Manager,4,Bachelor's,10228,11932,59,484,1,0,0,3 - High,2,No,Yes,10.0,26.0,3,4.0,Medium,06/11/2024
1056,21,Male,Human Resources,HR-01,Benefits Specialist,1,PhD,4193,5775,24,194,1,0,0,4 - Very High,3,No,No,9.0,30.0,2,3.0,Medium,2024-07-08
1057,40,Female,Operations,OPS-06,Logistics Coordinator,2,Master's,6449,7673,38,308,7,2,0,3 - High,3,No,No,7.0,8.0,3,3.0,Very High,06/12/2024
1058,42,Male,Operations,OPS-06,Facilities Manager,5,Bachelor's,12448,15845,70,555,16,8,1,4 - Very High,3,No,No,5.0,14.0,0,,High,2023-05-08
1059,42,Male,Engineering,ENG-02,Senior Engineer,2,PhD,8630,11061,50,410,14,5,1,3 - High,3,No,Yes,5.0,27.0,1,2.0,Medium,2023-08-01
1060,39,Female,Sales,SAL-03,Regional Sales Lead,2,Bachelor's,6088,7451,34,272,4,1,1,3 - High,4,No,Yes,7.0,23.0,0,5.0,Very High,2023-07-07
1061,37,Male,Engineering,ENG-02,Engineering Manager,1,High School,5171,6278,31,253,3,2,2,4 - Very High,3,No,No,3.0,30.0,1,5.0,Very High,12/18/2022
1062,40,Female,Engineering,ENG-02,Data Engineer,3,Master's,10868,13630,64,503,13,3,2,4 - Very High,3,No,No,8.0,17.0,4,3.0,Medium,06/05/2022
1063,41,Female,Marketing,MKT-04,Brand Manager,1,High School,5446,6368,32,256,11,9,5,2 - Medium,3,No,Yes,6.0,17.0,1,4.0,Very High,2019-07-18
1064,26,Female,Operations,OPS-06,Operations Analyst,1,PhD,4929,6140,28,227,1,1,0,4 - Very High,3,No,No,8.0,10.0,3,1.0,High,2024-08-29
1065,32,Male,Sales,SAL-03,Sales Director,4,Bachelor's,10721,14625,62,492,0,0,0,3 - High,3,No,no,4.0,19.0,0,5.0,High,2025-04-12
1066,26,Female,Engineering,ENG-02,Frontend Developer,3,Master's,9431,10575,55,447,0,0,0,3 - High,3,No,Yes,9.0,23.0,0,5.0,Medium,2024-09-23
1067,27,Male,Finance,FIN-05,Senior Accountant,2,Bachelor's,5213,6942,31,252,0,0,0,4 - Very High,4,No,No,5.0,19.0,0,5.0,Very High,2024-10-15
1068,21,Female,Finance,FIN-05,Tax Specialist,2,Bachelor's,5386,7261,32,261,0,0,0,3 - High,3,No,Yes,11.0,29.0,0,3.0,High,2024-10-28
1069,35,Female,Marketing,MKT-04,Brand Manager,2,Bachelor's,5854,7612,34,276,1,1,0,2 - Medium,2,No,No,44.0,5.0,2,3.0,Medium,2024-12-04
1070,41,Female,Sales,SAL-03,Sales Director,4,High School,11958,13521,67,532,11,3,2,3 - High,3,No,Yes,10.0,49.0,0,3.0,Low,2022-12-21
1071,38,Female,Human Resources,HR-01,HR Director,3,Bachelor's,7175,9492,41,336,6,3,2,2 - Medium,3,Yes,No,4.0,37.0,3,3.0,High,2022-08-30
1072,34,Female,Engineering,ENG-02,Engineering Manager,2,PhD,8181,10672,46,370,5,3,2,3 - High,3,No,Yes,11.0,29.0,0,4.0,High,2022-08-01
1073,25,Male,Engineering,ENG-02,Staff Engineer,2,Master's,8726,10227,49,387,4,0,0,3 - High,1,No,No,4.0,33.0,0,2.0,Medium,2024-10-13
1074,23,Male,Finance,FIN-05,Financial Analyst,1,Bachelor's,4823,5503,27,216,2,0,0,3 - High,2,No,No,16.0,31.0,0,3.0,high,2024-02-12
